id,parent,weight,name
1,0,-90,Россия
2,1,2,Столицы
3,0,-80,Центр
4,3,4,Белгородская область
5,3,5,Брянская область
6,3,6,Владимирская область
7,3,7,Воронежская область
8,3,8,Ивановская область
9,3,9,Калужская область
10,3,10,Костромская область
11,3,11,Курская область
12,3,12,Липецкая область
13,3,13,Орловская область
14,3,14,Рязанская область
15,3,15,Смоленская область
16,3,16,Тамбовская область
17,3,17,Тверская область
18,3,18,Тульская область
19,3,19,Ярославская область
20,3,20,Московская область
21,0,-60,Северо-Запад
22,21,22,Ненецкий автономный округ
23,21,23,Архангельская область
24,21,24,Вологодская область
25,21,25,Калининградская область
26,21,26,Мурманская область
27,21,27,Новгородская область
28,21,28,Псковская область
29,21,29,Республика Карелия
30,21,30,Республика Коми
31,21,31,Ленинградская область
32,0,-50,Юг
33,32,33,Астраханская область
34,32,34,Волгоградская область
35,32,35,Краснодарский край
36,32,36,Республика Адыгея
37,32,37,Республика Калмыкия
38,32,38,Ростовская область
39,32,39,Крым
40,0,-70,Поволжье
41,40,41,Кировская область
42,40,42,Республика Марий Эл
43,40,43,Нижегородская область
44,40,44,Оренбургская область
45,40,45,Пензенская область
46,40,46,Пермский край
47,40,47,Республика Башкортостан
48,40,48,Республика Мордовия
49,40,49,Республика Татарстан
50,40,50,Самарская область
51,40,51,Саратовская область
52,40,52,Удмуртская Республика
53,40,53,Ульяновская область
54,40,54,Чувашская Республика
55,0,-10,Урал
56,55,56,Курганская область
57,55,57,Свердловская область
58,55,58,Тюменская область
59,55,59,Ханты-Мансийский автономный округ - Югра
60,55,60,Челябинская область
61,55,61,Ямало-Ненецкий автономный округ
62,0,-20,Сибирь
63,62,63,Республика Алтай
64,64,64,Кызыл
65,62,65,Алтайский край
66,62,66,Иркутская область
67,62,67,Кемеровская область
68,62,68,Красноярский край
69,62,69,Новосибирская область
70,62,70,Омская область
71,62,71,Республика Бурятия
72,62,72,Республика Хакасия
73,62,73,Томская область
74,62,74,Забайкальский край
75,0,-40,Дальний Восток
76,75,76,Еврейская автономная область
77,75,77,Чукотский автономный округ
78,75,78,Амурская область
79,75,79,Камчатский край
80,75,80,Магаданская область
81,75,81,Приморский край
82,75,82,Республика Саха (Якутия)
83,75,83,Сахалинская область
84,75,84,Хабаровский край
85,0,-30,Северный Кавказ
86,85,86,Республика Дагестан
87,85,87,Республика Ингушетия
88,85,88,Кабардино-Балкарская Республика
89,85,89,Карачаево-Черкесская Республика
90,85,90,Республика Северная Осетия — Алания
91,85,91,Чеченская Республика
92,85,92,Ставропольский край
93,2,0,Москва
94,2,0,Санкт-Петербург
95,7,0,Воронеж
96,34,0,Волгоград
97,38,0,Ростов-на-Дону
98,43,0,Нижний Новгород
99,46,0,Пермь
100,47,0,Уфа
101,49,0,Казань
102,50,0,Самара
103,57,0,Екатеринбург
104,60,0,Челябинск
105,68,0,Красноярск
106,69,0,Новосибирск
107,70,0,Омск
108,4,0,Белгород
109,4,0,Старый Оскол
110,5,0,Брянск
111,6,0,Владимир
112,6,0,Ковров
113,6,0,Муром
114,8,0,Иваново
115,9,0,Калуга
116,9,0,Обнинск
117,10,0,Кострома
118,11,0,Курск
119,12,0,Липецк
120,12,0,Елец
121,13,0,Орёл
122,14,0,Рязань
123,15,0,Смоленск
124,16,0,Тамбов
